Province,District,Division,Houses Damaged,Affected
Eastern,Ampara,Pothuvil,1,26285
Eastern,Ampara,Addalachchenai,0,30367
Eastern,Ampara,Ampara,0,2572
Eastern,Ampara,Lahugala,0,8358
Eastern,Ampara,Samanthurai,0,4422
Eastern,Ampara,Sayinthamarathu,0,511
Eastern,Ampara,Damana,0,1124
Eastern,Batticaloa,Manmunai West(Vavunatheivu),0,47
Eastern,Batticaloa,Koralai Pattu North(Vakarai),0,1207
Eastern,Batticaloa,Porativu Pattu (Ellavul),0,1153
Eastern,Batticaloa,Kattankudy,0,4875
Eastern,Batticaloa,Eravur Pattu (Chenkalady),0,8612
Eastern,Batticaloa,Manmunai South - West (Peddipe,0,293
Eastern,Batticaloa,Koralai Pattu North(Vakarai),0,6426
Eastern,Batticaloa,Koralai Pattu (Valachchenai),0,6426
Eastern,Batticaloa,Koralai Pattu South (Kiran),0,7192
Eastern,Batticaloa,Koralai Pattu West (Oddamavadi,0,1653
Eastern,Batticaloa,Koralai Pattu Central,0,603
Eastern,Batticaloa,Manmunai West(Vavunatheivu),0,32
Eastern,Batticaloa,Manmunai South - West (Peddipe,0,1674
Eastern,Batticaloa,Manmunai South - West (Peddipe,0,1674
Eastern,Batticaloa,Eravur Town (Eravur),0,3617
Uva,Moneragala,Katharagama,7,137
North-Central,Polonnaruwa,Thamankaduwa,0,685
Eastern,Trincomalee,Muttur,0,778
Eastern,Trincomalee,Verugal/ Echchalampattai,0,87
Eastern,Trincomalee,Thambalagamuwa,0,43
Eastern,Trincomalee,Kuchchaveli,0,12
Eastern,Trincomalee,Seruvila,0,37
Eastern,Trincomalee,Trincomalee Town and Gravets,3,17
Eastern,Ampara,Mahaoya,0,90
Eastern,Ampara,Kalmunai,0,1328
Eastern,Ampara,Ninthavur,0,6084
Eastern,Ampara,Alayadiwembu,0,18687
Eastern,Ampara,Uhana,0,399
Eastern,Ampara,Eragama,0,536
Eastern,Ampara,Navithanveli,0,15
Eastern,Ampara,Padiyathalawa,0,119
North-Central,Anuradhapura,Ipalogama,0,11
Uva,Badulla,Mahiyanganaya,2,8
Southern,Hambantota,Hambantota,1,586
Uva,Moneragala,Siyambalanduwa,0,33
Central,Nuwara Eliya,Kothmale,0,0
North-Western,Puttalam,Mundalama,0,807
North-Western,Puttalam,Nawagattegama,0,46
Eastern,Trincomalee,Seruvila,9,30
Eastern,Ampara,Dehiattakandiya,0,7
North-Central,Anuradhapura,Rajanganaya,0,75
North-Western,Kurunegala,Galgamuwa,0,54
North-Central,Polonnaruwa,Medirigiriya,0,173
North-Central,Polonnaruwa,Hingurakgoda,4,101
North-Central,Polonnaruwa,Medirigiriya,0,173
North-Central,Polonnaruwa,Hingurakgoda,4,101
North-Central,Polonnaruwa,Lankapura,0,46
North-Western,Puttalam,Vanathavilluwa,0,392
Eastern,Trincomalee,Verugal/ Echchalampattai,0,341
Eastern,Trincomalee,Kinniya,0,483
Eastern,Trincomalee,Seruvila,0,130
Eastern,Trincomalee,Kanthalai,1,3
Sabaragamuwa,Ratnapura,Nivithigala,1,3
