Province,District,Division,Houses Damaged,Affected
Eastern,Ampara,Akkaraipattu(Karunkoditivu),0,15477
Eastern,Ampara,Kalmunai Tamil,0,2131
Eastern,Ampara,Samanthurai,6,378
Eastern,Ampara,Karativu,62,3230
Eastern,Ampara,Ninthavur,0,2205
Eastern,Ampara,Addalachchenai,1,2835
Eastern,Ampara,Akkaraipattu(Karunkoditivu),1,2250
Eastern,Ampara,Kalmunai,0,4396
Eastern,Ampara,Alayadiwembu,0,3920
Eastern,Ampara,Thirukkovil,26,3880
Eastern,Ampara,Pothuvil,0,3066
Eastern,Ampara,Samanthurai,2,42
Eastern,Ampara,Uhana,4,161
Eastern,Ampara,Ampara,20,78
Eastern,Ampara,Damana,2,11
Eastern,Ampara,Lahugala,3,840
Eastern,Ampara,Pothuvil,0,4678
Eastern,Ampara,Mahaoya,0,3490
