Division,Month,Affected
ERAVUR TOWN (ERAVUR),11,1669
MANMUNAI WEST(VAVUNATHEIVU),11,2981
PORATIVU PATTU (ELLAVUL),11,4
MANMUNAI NORTH (BATTI TOWN),11,546
PORATIVU PATTU (ELLAVUL),11,795
KATTANKUDY,11,2167
MANMUNAI SOUTH - WEST (PEDDIPE,11,1037
MANMUNAI SOUTH & ERUVILPATTU (,11,294
MANMUNAI PATTU (ARAIPATTAI),11,3670
THAMANKADUWA,11,53
WELIKANDA,11,93
NUWARAGAM PALATHA EAST,11,98
NUWARAGAM PALATHA CENTRAL,11,11
ODDUSUDDAN,11,643
THUNUKKAI,11,426
MARITIMEPATTU,11,48
WELI OYA,11,34
PUTHUKUDIYIRUPPU,11,4
VAVUNIYA NORTH,11,18
KARACHCHI,11,839
KANDAVALAI,11,1071
MANTHAI WEST,11,110
KAREINAGAR,11,198
NALLUR,11,63
VALIKAMAM EAST (KOPAY),11,21
THENMARADCHI (CHAVAKACHCHERI),11,96
JAFFNA,11,507
NALLUR,11,89
VALIKAMAM EAST (KOPAY),11,21
VALIKAMAM WEST (CHANKANAI),11,2464
VALIKAMAM SOUTH (UDUVIL),11,146
THENMARADCHI (CHAVAKACHCHERI),11,374
DAMBULLA,11,42
WILGAMUWA,11,298
KURUNEGALA,11,281
UDADUMBARA,11,4
MINIPE,11,25
NARAMMALA,11,47
UDUBADDAWA,11,51
MAHAWEWA,11,148
CHILAW,11,361
VANATHAVILLUWA,11,6
NARAMMALA,11,47
MAHAKUMBUKKADAWALA,11,57
ARACHCHIKATTUWA,11,210
NEGOMBO,11,290
KATANA,11,2191
MIRIGAMA,11,11
WATTALA,11,65
MANMUNAI NORTH (BATTI TOWN),12,276
KALUTARA,10,1045
BANDARAGAMA,10,2473
MATHUGAMA,10,5599
PALINDANUWARA,10,588
DODANGODA,10,918
HORANA,10,59
AGALAWATTA,10,180
MILLANIYA,10,1297
BULATHSINHALA,10,128
WALALLAVITA,10,3888
INGIRIYA,10,8
MADURAWALA,10,18
BERUWALA,10,681
PANADURA,10,3974
ODDUSUDDAN,12,7286
PUTHUKUDIYIRUPPU,12,16860
THUNUKKAI,12,1314
MARITIMEPATTU,12,5503
MANTHAI EAST,12,1569
KARACHCHI,12,38901
KANDAVALAI,12,25819
PACHCHILAIPALLI,12,7270
POONAKARY,12,6538
MANNAR TOWN,12,85
VAVUNIYA NORTH,12,526
VADAMARADCHI EAST (MARUTHNKERN,12,12642
KANDY FOUR GRAVETS & GANGAWATA,12,850
AKURANA,12,30
THUMPANE,12,11
MEDADUMBARA,12,7
VANATHAVILLUWA,12,68
WELI OYA,12,19
MANMUNAI NORTH (BATTI TOWN),1,978
MANMUNAI PATTU (ARAIPATTAI),1,1226
MANMUNAI SOUTH - WEST (PEDDIPE,1,146
PORATIVU PATTU (ELLAVUL),1,110
MANMUNAI WEST(VAVUNATHEIVU),4,8
PATHAHEWAHETA,6,7
PELMADULLA,7,115
RATNAPURA,7,724
AMBAGAMUWAKORALE,7,298
NUWARA ELIYA,7,596
NUWARA ELIYA,7,57
NUWARA ELIYA,8,15
AMBAGAMUWAKORALE,8,74
RATNAPURA,8,1788
ELAPATHA,8,381
KIRIELLA,8,312
PORATIVU PATTU (ELLAVUL),8,6
PASBAGE KORALE,8,257
AMBAGAMUWAKORALE,8,4
MATARA FOUR GRAVETS,8,13
RATNAPURA,8,114
BULATHKOHUPITIYA,8,26
UDAPALATHA,9,6
HAMBANTOTA,9,359
LUNUGAMVEHERA,9,52
DELTHOTA,9,9
SRI JAYAWARDANAPURA KOTTE,9,175
THIMBIRIGASYAYA,9,420
THISSAMAHARAMA,9,72
BELIATTA,9,74
MAHARA,9,102
KELANIYA,9,1183
KAREINAGAR,9,49
VALIKAMAM EAST (KOPAY),9,14
VALIKAMAM NORTH(TELLIPALLAI),9,451
THENMARADCHI (CHAVAKACHCHERI),9,26
VADAMARADCHI SOUTH-WEST (KARAV,9,568
IMADUWA,9,2092
HABARADUWA,9,4549
AKMEEMANA,9,839
BADDEGAMA,9,1198
GOONAPEENUWALA,9,203
GALLE FOUR GRAVETS,9,7541
HIKKADUWA,9,946
ELPITIYA,9,2700
BENTHOTA,9,140
KIRINDA PUHULWELLA,9,57
DICKWELLA,9,184
THIHAGODA,9,3205
WELIPITIYA,9,7969
DEVINUWARA,9,172
WELIGAMA,9,2588
HAKMANA,9,145
MATARA FOUR GRAVETS,9,3280
ATHURALIYA,9,582
KAMBURUPITIYA,9,507
MALIMBADA,9,310
PITABEDDARA,9,39
PASGODA,9,27
AKURESSA,9,609
MULATIYANA,9,50
MAHARAGAMA,9,258
THIMBIRIGASYAYA,9,4637
SRI JAYAWARDANAPURA KOTTE,9,3804
MORATUWA,9,1367
COLOMBO,9,7024
KADUWELA,9,1151
DOMPE,9,97
KELANIYA,9,12249
WATTALA,9,24195
MAHARA,9,1436
GAMPAHA,9,286
NEGOMBO,9,7281
KATANA,9,9998
JA-ELA,9,782
KOTAPOLA,9,31
PANNALA,9,6
NUWARA ELIYA,9,22
AMBAGAMUWAKORALE,10,182
ARANAYAKA,10,4
DEHIOVITA,10,48
WEERAKETIYA,10,11
BIYAGAMA,10,410
ATTANAGALLA,10,220
KELANIYA,10,4799
WALASMULLA,10,19
JAFFNA,10,5
WATTALA,10,2549
DOMPE,10,20
DOMPE,10,60
BIYAGAMA,10,18
ATTANAGALLA,10,4
KELANIYA,10,195
WATTALA,10,1723
DOMPE,10,10
DOMPE,10,3
DOMPE,10,3
GAMPAHA,10,278
MANNAR TOWN,10,356
KAREINAGAR,10,40
JAFFNA,10,93
KARATIVU,10,14
KORALAI PATTU SOUTH (KIRAN),10,3776
UDUBADDAWA,10,102
WELI OYA,10,21
MANMUNAI PATTU (ARAIPATTAI),11,3
MANMUNAI NORTH (BATTI TOWN),11,1116
MANMUNAI SOUTH - WEST (PEDDIPE,11,3
MANMUNAI PATTU (ARAIPATTAI),11,486
KATTANKUDY,11,262
KORALAI PATTU (VALACHCHENAI),11,18
KORALAI PATTU SOUTH (KIRAN),11,5
MANMUNAI WEST(VAVUNATHEIVU),11,11
SAMANTHURAI,11,12
SAMANTHURAI,12,30
UHANA,11,157
ALAYADIWEMBU,11,21132
KARATIVU,11,13715
LAHUGALA,12,18
DAMANA,12,39
ADDALACHCHENAI,12,13532
SAYINTHAMARATHU,12,430
AMPARA,12,78
NINTHAVUR,12,11144
THIRUKKOVIL,11,16612
POTHUVIL,12,35751
AKKARAIPATTU(KARUNKODITIVU),12,15477
KALMUNAI TAMIL,11,2131
SAMANTHURAI,11,378
KARATIVU,11,3230
NINTHAVUR,11,2205
ADDALACHCHENAI,11,2835
AKKARAIPATTU(KARUNKODITIVU),11,2250
KALMUNAI,12,4396
ALAYADIWEMBU,11,3920
THIRUKKOVIL,11,3880
POTHUVIL,11,3066
SAMANTHURAI,11,42
UHANA,11,161
AMPARA,11,78
DAMANA,11,11
LAHUGALA,11,840
POTHUVIL,12,4678
MAHAOYA,12,3490
DEHIATTAKANDIYA,12,279
LAHUGALA,12,7959
NINTHAVUR,12,35
AMPARA,12,22
DAMANA,12,10
UHANA,12,169
PADIYATHALAWA,12,175
KALMUNAI,12,14
ERAGAMA,12,5
RAJANGANAYA,12,723
PALAGALA,12,686
PALUGASWEWA,12,171
NUWARAGAM PALATHA CENTRAL,12,13
THAMBUTTEGAMA,12,663
THALAWA,12,446
